source,source_class,local_retention,internal_research,non_display_use,backup_rights,derived_analytics,redistribution,termination_retention,legal_status,required_action,evidence_url,confidence,production_influence
NSE Data & Analytics,OFFICIAL_EXCHANGE,CONTRACT_REQUIRED,CONTRACT_REQUIRED,CONTRACT_REQUIRED,CONTRACT_REQUIRED,CONTRACT_REQUIRED,WRITTEN_PERMISSION_REQUIRED,CONTRACT_REQUIRED,NOT_CLEARED,Obtain signed intended-use schedule,https://www.nseindia.com/static/market-data/nse-data-policy,HIGH,FALSE
NSE public reports,OFFICIAL_EXCHANGE_PUBLIC,NOT_CONFIRMED,NOT_CONFIRMED,NOT_CONFIRMED,NOT_CONFIRMED,NOT_CONFIRMED,RESTRICTED,NOT_CONFIRMED,NOT_CLEARED,Do not automate or retain at scale without permission,https://www.nseindia.com/static/nse-terms-of-use,HIGH,FALSE
NSE Indices,OFFICIAL_INDEX_ADMINISTRATOR,CONTRACT_REQUIRED,CONTRACT_REQUIRED,CONTRACT_REQUIRED,CONTRACT_REQUIRED,CONTRACT_REQUIRED,LICENSE_REQUIRED,CONTRACT_REQUIRED,NOT_CLEARED,Request historical values and constituent license,https://www.niftyindices.com/offerings/data-subscription,HIGH,FALSE
BSE,OFFICIAL_EXCHANGE,CONTRACT_REQUIRED,CONTRACT_REQUIRED,CONTRACT_REQUIRED,CONTRACT_REQUIRED,CONTRACT_REQUIRED,SEPARATE_RIGHTS,CONTRACT_REQUIRED,NOT_CLEARED,Obtain product schedule and internal-use rights,https://marketdata.bseindia.com/,HIGH,FALSE
CDSL,OFFICIAL_DEPOSITORY,NOT_CONFIRMED,NOT_CONFIRMED,NOT_CONFIRMED,NOT_CONFIRMED,NOT_CONFIRMED,NOT_CONFIRMED,NOT_CONFIRMED,NOT_CLEARED,Confirm member or commercial access and archive rights,https://www.cdslindia.com/DP/Harmonization.html,MEDIUM,FALSE
SEBI,REGULATOR,PUBLIC_TERMS_APPLY,PUBLIC_TERMS_APPLY,NOT_APPLICABLE,NOT_CONFIRMED,NOT_CONFIRMED,NOT_CONFIRMED,NOT_CONFIRMED,NOT_CLEARED,Review dataset-specific notices before bulk retention,https://www.sebi.gov.in/statistics/statistics.html,MEDIUM,FALSE
AMFI,INDUSTRY_BODY,NOT_CONFIRMED,NOT_CONFIRMED,NOT_APPLICABLE,NOT_CONFIRMED,NOT_CONFIRMED,NOT_CONFIRMED,NOT_CONFIRMED,NOT_CLEARED,Confirm bulk internal research and archival rights,https://www.amfiindia.com/research-information,MEDIUM,FALSE
Upstox,BROKER_API,NOT_CONFIRMED,ACCOUNT_USE_ONLY,NOT_CONFIRMED,NOT_CONFIRMED,NOT_CONFIRMED,NOT_CONFIRMED,NOT_CONFIRMED,NOT_CLEARED,Use only for bounded operational overlap unless written rights obtained,https://upstox.com/developer/api-documentation/,MEDIUM,FALSE
Zerodha Kite,BROKER_API,RESTRICTED,ACCOUNT_USE_ONLY,RESTRICTED,NOT_CONFIRMED,NOT_CONFIRMED,RESTRICTED,NOT_CONFIRMED,NOT_CLEARED,Exclude as canonical warehouse source,https://support.zerodha.com/category/trading-and-markets/general-kite/kite-api/articles/kite-connect-api-faqs,HIGH,FALSE
nse-archives,OPEN_SOURCE_WRAPPER,INHERITS_UPSTREAM,INHERITS_UPSTREAM,INHERITS_UPSTREAM,INHERITS_UPSTREAM,INHERITS_UPSTREAM,INHERITS_UPSTREAM,INHERITS_UPSTREAM,CODE_ONLY_CLEARED,Pin code only after upstream data entitlement,https://pypi.org/project/nse-archives/,HIGH,FALSE
Global Datafeeds,LICENSED_VENDOR,CONTRACT_REQUIRED,CONTRACT_REQUIRED,CONTRACT_REQUIRED,CONTRACT_REQUIRED,CONTRACT_REQUIRED,EXCHANGE_PERMISSION_REQUIRED,CONTRACT_REQUIRED,NOT_CLEARED,Request commercial and exchange rights schedule,https://globaldatafeeds.in/global-datafeeds-apis/global-datafeeds-apis/pricing-sales/who-can-purchase/,HIGH,FALSE
TrueData,LICENSED_VENDOR,CONTRACT_REQUIRED,LICENSED_INTERNAL_USE,CONTRACT_REQUIRED,CONTRACT_REQUIRED,CONTRACT_REQUIRED,WRITTEN_PERMISSION_REQUIRED,CONTRACT_REQUIRED,NOT_CLEARED,Request history and corporate package terms,https://www.truedata.in/market-data-apis,HIGH,FALSE
LSEG,INSTITUTIONAL_VENDOR,PACKAGE_DEPENDENT,PACKAGE_DEPENDENT,PACKAGE_DEPENDENT,PACKAGE_DEPENDENT,PACKAGE_DEPENDENT,PACKAGE_DEPENDENT,PACKAGE_DEPENDENT,NOT_CLEARED,Obtain India entitlement and exchange pass-through schedule,https://www.lseg.com/en/data-analytics/market-data,MEDIUM,FALSE
FactSet,INSTITUTIONAL_VENDOR,PACKAGE_DEPENDENT,PACKAGE_DEPENDENT,PACKAGE_DEPENDENT,PACKAGE_DEPENDENT,PACKAGE_DEPENDENT,PACKAGE_DEPENDENT,PACKAGE_DEPENDENT,NOT_CLEARED,Obtain product and third-party terms,https://www.factset.com/third-party-terms,MEDIUM,FALSE
Bloomberg,INSTITUTIONAL_VENDOR,PACKAGE_DEPENDENT,PACKAGE_DEPENDENT,PACKAGE_DEPENDENT,PACKAGE_DEPENDENT,PACKAGE_DEPENDENT,PACKAGE_DEPENDENT,PACKAGE_DEPENDENT,NOT_CLEARED,Obtain Data License schedule for India and intended use,https://professional.bloomberg.com/products/data/data-management/data-license/,MEDIUM,FALSE
S&P Global,INSTITUTIONAL_VENDOR,PACKAGE_DEPENDENT,PACKAGE_DEPENDENT,PACKAGE_DEPENDENT,PACKAGE_DEPENDENT,PACKAGE_DEPENDENT,PACKAGE_DEPENDENT,PACKAGE_DEPENDENT,NOT_CLEARED,Obtain Managed Corporate Actions license schedule,https://www.spglobal.com/market-intelligence/en/solutions/mca,MEDIUM,FALSE
Yahoo Finance,PUBLIC_AGGREGATOR,CONSUMER_DOWNLOAD_ONLY,INFORMATIONAL_ONLY,NOT_CONFIRMED,NOT_CONFIRMED,NOT_CONFIRMED,PROHIBITED,NOT_CONFIRMED,REJECTED,Do not use as authoritative warehouse,https://uk.help.yahoo.com/kb/finance/data-availability-yahoo-finance-sln2310.html,HIGH,FALSE
Alpha Vantage,PUBLIC_API,COMMERCIAL_AGREEMENT_REQUIRED,COMMERCIAL_AGREEMENT_REQUIRED,COMMERCIAL_AGREEMENT_REQUIRED,NOT_CONFIRMED,COMMERCIAL_AGREEMENT_REQUIRED,NOT_CONFIRMED,NOT_CONFIRMED,NOT_CLEARED,Contact sales for commercial research rights,https://www.alphavantage.co/terms_of_service/,HIGH,FALSE
