ambiguity_state,candidate_arm_id,complete_stack_critical,economic_candidate_id,expected_source,field_path,fingerprint_critical,missing_reason,observed_source_state,potential_derivation_method,potential_primitive_source,price_views,producing_component,recommendation_date,recommendation_semantic_critical,required_historical_version,symbol,trade_plan_semantic_critical
UNRESOLVED_HISTORICAL_VALUE,UNKNOWN,true,00357d4be79daded92f2d25d0364db84dccbb487c1cca56a58c48bd0db2373fc,HISTORICAL_TRUTH_CANDLES_PLUS_WINDOW_MANIFEST,adjusted_candle_window,true,HISTORICAL_PRIMITIVE_MISSING,NOT_RETAINED,NO_CERTIFIED_METHOD,HISTORICAL_TRUTH_CANDLES_PLUS_WINDOW_MANIFEST,ADJUSTED|RAW,IntelligenceInputBuilder,2026-05-27,true,CANDIDATE_DATE_SPECIFIC_VERSION,COALINDIA,true
UNRESOLVED_HISTORICAL_VALUE,UNKNOWN,true,00357d4be79daded92f2d25d0364db84dccbb487c1cca56a58c48bd0db2373fc,HISTORICAL_TRUTH_CANDLES_PLUS_WINDOW_MANIFEST,raw_candle_window,true,HISTORICAL_PRIMITIVE_MISSING,NOT_RETAINED,NO_CERTIFIED_METHOD,HISTORICAL_TRUTH_CANDLES_PLUS_WINDOW_MANIFEST,ADJUSTED|RAW,IntelligenceInputBuilder,2026-05-27,true,CANDIDATE_DATE_SPECIFIC_VERSION,COALINDIA,true
UNRESOLVED_HISTORICAL_VALUE,UNKNOWN,true,00357d4be79daded92f2d25d0364db84dccbb487c1cca56a58c48bd0db2373fc,HISTORICAL_TRUTH_CORPORATE_ACTION_TIMELINE,corporate_action_state,true,CORPORATE_ACTION_STATE_MISSING,NOT_RETAINED,NO_CERTIFIED_METHOD,HISTORICAL_TRUTH_CORPORATE_ACTION_TIMELINE,ADJUSTED|RAW,IntelligenceInputBuilder,2026-05-27,true,CANDIDATE_DATE_SPECIFIC_VERSION,COALINDIA,false
UNRESOLVED_HISTORICAL_VALUE,UNKNOWN,true,00357d4be79daded92f2d25d0364db84dccbb487c1cca56a58c48bd0db2373fc,POINT_IN_TIME_RECOMMENDATION_INPUT_SNAPSHOT,adaptive_metadata,true,FINGERPRINT_DIMENSION_MISSING,NOT_RETAINED,NO_CERTIFIED_METHOD,POINT_IN_TIME_RECOMMENDATION_INPUT_SNAPSHOT,ADJUSTED|RAW,IntelligenceInputBuilder,2026-05-27,true,CANDIDATE_DATE_SPECIFIC_VERSION,COALINDIA,false
UNRESOLVED_HISTORICAL_VALUE,UNKNOWN,true,00357d4be79daded92f2d25d0364db84dccbb487c1cca56a58c48bd0db2373fc,POINT_IN_TIME_RECOMMENDATION_INPUT_SNAPSHOT,data_completeness,true,DATA_COMPLETENESS_STATE_MISSING,NOT_RETAINED,NO_CERTIFIED_METHOD,POINT_IN_TIME_RECOMMENDATION_INPUT_SNAPSHOT,ADJUSTED|RAW,IntelligenceInputBuilder,2026-05-27,true,CANDIDATE_DATE_SPECIFIC_VERSION,COALINDIA,false
UNRESOLVED_HISTORICAL_VALUE,UNKNOWN,true,00357d4be79daded92f2d25d0364db84dccbb487c1cca56a58c48bd0db2373fc,POINT_IN_TIME_RECOMMENDATION_INPUT_SNAPSHOT,evidence_state,true,EVIDENCE_STATE_MISSING,NOT_RETAINED,NO_CERTIFIED_METHOD,POINT_IN_TIME_RECOMMENDATION_INPUT_SNAPSHOT,ADJUSTED|RAW,RecommendationEngine,2026-05-27,true,CANDIDATE_DATE_SPECIFIC_VERSION,COALINDIA,false
UNRESOLVED_HISTORICAL_VALUE,UNKNOWN,true,00357d4be79daded92f2d25d0364db84dccbb487c1cca56a58c48bd0db2373fc,POINT_IN_TIME_RECOMMENDATION_INPUT_SNAPSHOT,historical_edge,true,EVIDENCE_STATE_MISSING,NOT_RETAINED,NO_CERTIFIED_METHOD,POINT_IN_TIME_RECOMMENDATION_INPUT_SNAPSHOT,ADJUSTED|RAW,IntelligenceInputBuilder,2026-05-27,true,CANDIDATE_DATE_SPECIFIC_VERSION,COALINDIA,false
UNRESOLVED_HISTORICAL_VALUE,UNKNOWN,true,00357d4be79daded92f2d25d0364db84dccbb487c1cca56a58c48bd0db2373fc,POINT_IN_TIME_RECOMMENDATION_INPUT_SNAPSHOT,indicator_inputs,true,ALGORITHM_VERSION_MISSING,NOT_RETAINED,HISTORICAL_ENGINE_REEXECUTION_REQUIRES_VERSION_PROOF,POINT_IN_TIME_RECOMMENDATION_INPUT_SNAPSHOT,ADJUSTED|RAW,RecommendationEngine,2026-05-27,true,CANDIDATE_DATE_SPECIFIC_VERSION,COALINDIA,true
UNRESOLVED_HISTORICAL_VALUE,UNKNOWN,true,00357d4be79daded92f2d25d0364db84dccbb487c1cca56a58c48bd0db2373fc,POINT_IN_TIME_RECOMMENDATION_INPUT_SNAPSHOT,liquidity_state,true,LIQUIDITY_STATE_MISSING,NOT_RETAINED,NO_CERTIFIED_METHOD,POINT_IN_TIME_RECOMMENDATION_INPUT_SNAPSHOT,ADJUSTED|RAW,IntelligenceInputBuilder,2026-05-27,true,CANDIDATE_DATE_SPECIFIC_VERSION,COALINDIA,true
UNRESOLVED_HISTORICAL_VALUE,UNKNOWN,true,00357d4be79daded92f2d25d0364db84dccbb487c1cca56a58c48bd0db2373fc,POINT_IN_TIME_RECOMMENDATION_INPUT_SNAPSHOT,market_regime,true,MARKET_REGIME_STATE_MISSING,NOT_RETAINED,NO_CERTIFIED_METHOD,POINT_IN_TIME_RECOMMENDATION_INPUT_SNAPSHOT,ADJUSTED|RAW,IntelligenceInputBuilder,2026-05-27,true,CANDIDATE_DATE_SPECIFIC_VERSION,COALINDIA,false
UNRESOLVED_HISTORICAL_VALUE,UNKNOWN,true,00357d4be79daded92f2d25d0364db84dccbb487c1cca56a58c48bd0db2373fc,POINT_IN_TIME_RECOMMENDATION_INPUT_SNAPSHOT,sector_state,true,SECTOR_STATE_MISSING,NOT_RETAINED,NO_CERTIFIED_METHOD,POINT_IN_TIME_RECOMMENDATION_INPUT_SNAPSHOT,ADJUSTED|RAW,IntelligenceInputBuilder,2026-05-27,true,CANDIDATE_DATE_SPECIFIC_VERSION,COALINDIA,false
UNRESOLVED_HISTORICAL_VALUE,UNKNOWN,true,00357d4be79daded92f2d25d0364db84dccbb487c1cca56a58c48bd0db2373fc,POINT_IN_TIME_RECOMMENDATION_INPUT_SNAPSHOT,setup_inputs,true,ALGORITHM_VERSION_MISSING,NOT_RETAINED,HISTORICAL_ENGINE_REEXECUTION_REQUIRES_VERSION_PROOF,POINT_IN_TIME_RECOMMENDATION_INPUT_SNAPSHOT,ADJUSTED|RAW,TradeSetupEngine,2026-05-27,true,CANDIDATE_DATE_SPECIFIC_VERSION,COALINDIA,true
UNRESOLVED_HISTORICAL_VALUE,UNKNOWN,true,00357d4be79daded92f2d25d0364db84dccbb487c1cca56a58c48bd0db2373fc,POINT_IN_TIME_RECOMMENDATION_INPUT_SNAPSHOT,setup_stage_inputs,true,ALGORITHM_VERSION_MISSING,NOT_RETAINED,HISTORICAL_ENGINE_REEXECUTION_REQUIRES_VERSION_PROOF,POINT_IN_TIME_RECOMMENDATION_INPUT_SNAPSHOT,ADJUSTED|RAW,TradeSetupEngine,2026-05-27,true,CANDIDATE_DATE_SPECIFIC_VERSION,COALINDIA,true
UNRESOLVED_HISTORICAL_VALUE,UNKNOWN,true,00357d4be79daded92f2d25d0364db84dccbb487c1cca56a58c48bd0db2373fc,SIGNED_SOURCE_AND_POLICY_SNAPSHOT,object_schema_version,true,SERIALISATION_STATE_MISSING,NOT_RETAINED,NO_CERTIFIED_METHOD,SIGNED_SOURCE_AND_POLICY_SNAPSHOT,ADJUSTED|RAW,IntelligenceInputBuilder,2026-05-27,true,HISTORICAL_RECOMMENDATION_SCHEMA,COALINDIA,false
UNRESOLVED_HISTORICAL_VALUE,UNKNOWN,true,00357d4be79daded92f2d25d0364db84dccbb487c1cca56a58c48bd0db2373fc,SIGNED_SOURCE_AND_POLICY_SNAPSHOT,recommendation_policy_version,true,POLICY_VERSION_MISSING,NOT_RETAINED,NO_CERTIFIED_METHOD,SIGNED_SOURCE_AND_POLICY_SNAPSHOT,ADJUSTED|RAW,RecommendationPolicy,2026-05-27,true,HISTORICAL_RECOMMENDATION_POLICY,COALINDIA,false
UNRESOLVED_HISTORICAL_VALUE,UNKNOWN,true,004d5f8deff6e2b7afaabb9b09104d19b2ff345221260ebbaaf2ef0a2700c595,HISTORICAL_TRUTH_CANDLES_PLUS_WINDOW_MANIFEST,adjusted_candle_window,true,HISTORICAL_PRIMITIVE_MISSING,NOT_RETAINED,NO_CERTIFIED_METHOD,HISTORICAL_TRUTH_CANDLES_PLUS_WINDOW_MANIFEST,ADJUSTED|RAW,IntelligenceInputBuilder,2026-04-09,true,CANDIDATE_DATE_SPECIFIC_VERSION,HFCL,true
UNRESOLVED_HISTORICAL_VALUE,UNKNOWN,true,004d5f8deff6e2b7afaabb9b09104d19b2ff345221260ebbaaf2ef0a2700c595,HISTORICAL_TRUTH_CANDLES_PLUS_WINDOW_MANIFEST,raw_candle_window,true,HISTORICAL_PRIMITIVE_MISSING,NOT_RETAINED,NO_CERTIFIED_METHOD,HISTORICAL_TRUTH_CANDLES_PLUS_WINDOW_MANIFEST,ADJUSTED|RAW,IntelligenceInputBuilder,2026-04-09,true,CANDIDATE_DATE_SPECIFIC_VERSION,HFCL,true
UNRESOLVED_HISTORICAL_VALUE,UNKNOWN,true,004d5f8deff6e2b7afaabb9b09104d19b2ff345221260ebbaaf2ef0a2700c595,HISTORICAL_TRUTH_CORPORATE_ACTION_TIMELINE,corporate_action_state,true,CORPORATE_ACTION_STATE_MISSING,NOT_RETAINED,NO_CERTIFIED_METHOD,HISTORICAL_TRUTH_CORPORATE_ACTION_TIMELINE,ADJUSTED|RAW,IntelligenceInputBuilder,2026-04-09,true,CANDIDATE_DATE_SPECIFIC_VERSION,HFCL,false
UNRESOLVED_HISTORICAL_VALUE,UNKNOWN,true,004d5f8deff6e2b7afaabb9b09104d19b2ff345221260ebbaaf2ef0a2700c595,POINT_IN_TIME_RECOMMENDATION_INPUT_SNAPSHOT,adaptive_metadata,true,FINGERPRINT_DIMENSION_MISSING,NOT_RETAINED,NO_CERTIFIED_METHOD,POINT_IN_TIME_RECOMMENDATION_INPUT_SNAPSHOT,ADJUSTED|RAW,IntelligenceInputBuilder,2026-04-09,true,CANDIDATE_DATE_SPECIFIC_VERSION,HFCL,false
UNRESOLVED_HISTORICAL_VALUE,UNKNOWN,true,004d5f8deff6e2b7afaabb9b09104d19b2ff345221260ebbaaf2ef0a2700c595,POINT_IN_TIME_RECOMMENDATION_INPUT_SNAPSHOT,data_completeness,true,DATA_COMPLETENESS_STATE_MISSING,NOT_RETAINED,NO_CERTIFIED_METHOD,POINT_IN_TIME_RECOMMENDATION_INPUT_SNAPSHOT,ADJUSTED|RAW,IntelligenceInputBuilder,2026-04-09,true,CANDIDATE_DATE_SPECIFIC_VERSION,HFCL,false
UNRESOLVED_HISTORICAL_VALUE,UNKNOWN,true,004d5f8deff6e2b7afaabb9b09104d19b2ff345221260ebbaaf2ef0a2700c595,POINT_IN_TIME_RECOMMENDATION_INPUT_SNAPSHOT,evidence_state,true,EVIDENCE_STATE_MISSING,NOT_RETAINED,NO_CERTIFIED_METHOD,POINT_IN_TIME_RECOMMENDATION_INPUT_SNAPSHOT,ADJUSTED|RAW,RecommendationEngine,2026-04-09,true,CANDIDATE_DATE_SPECIFIC_VERSION,HFCL,false
UNRESOLVED_HISTORICAL_VALUE,UNKNOWN,true,004d5f8deff6e2b7afaabb9b09104d19b2ff345221260ebbaaf2ef0a2700c595,POINT_IN_TIME_RECOMMENDATION_INPUT_SNAPSHOT,historical_edge,true,EVIDENCE_STATE_MISSING,NOT_RETAINED,NO_CERTIFIED_METHOD,POINT_IN_TIME_RECOMMENDATION_INPUT_SNAPSHOT,ADJUSTED|RAW,IntelligenceInputBuilder,2026-04-09,true,CANDIDATE_DATE_SPECIFIC_VERSION,HFCL,false
UNRESOLVED_HISTORICAL_VALUE,UNKNOWN,true,004d5f8deff6e2b7afaabb9b09104d19b2ff345221260ebbaaf2ef0a2700c595,POINT_IN_TIME_RECOMMENDATION_INPUT_SNAPSHOT,indicator_inputs,true,ALGORITHM_VERSION_MISSING,NOT_RETAINED,HISTORICAL_ENGINE_REEXECUTION_REQUIRES_VERSION_PROOF,POINT_IN_TIME_RECOMMENDATION_INPUT_SNAPSHOT,ADJUSTED|RAW,RecommendationEngine,2026-04-09,true,CANDIDATE_DATE_SPECIFIC_VERSION,HFCL,true
UNRESOLVED_HISTORICAL_VALUE,UNKNOWN,true,004d5f8deff6e2b7afaabb9b09104d19b2ff345221260ebbaaf2ef0a2700c595,POINT_IN_TIME_RECOMMENDATION_INPUT_SNAPSHOT,liquidity_state,true,LIQUIDITY_STATE_MISSING,NOT_RETAINED,NO_CERTIFIED_METHOD,POINT_IN_TIME_RECOMMENDATION_INPUT_SNAPSHOT,ADJUSTED|RAW,IntelligenceInputBuilder,2026-04-09,true,CANDIDATE_DATE_SPECIFIC_VERSION,HFCL,true
UNRESOLVED_HISTORICAL_VALUE,UNKNOWN,true,004d5f8deff6e2b7afaabb9b09104d19b2ff345221260ebbaaf2ef0a2700c595,POINT_IN_TIME_RECOMMENDATION_INPUT_SNAPSHOT,market_regime,true,MARKET_REGIME_STATE_MISSING,NOT_RETAINED,NO_CERTIFIED_METHOD,POINT_IN_TIME_RECOMMENDATION_INPUT_SNAPSHOT,ADJUSTED|RAW,IntelligenceInputBuilder,2026-04-09,true,CANDIDATE_DATE_SPECIFIC_VERSION,HFCL,false
UNRESOLVED_HISTORICAL_VALUE,UNKNOWN,true,004d5f8deff6e2b7afaabb9b09104d19b2ff345221260ebbaaf2ef0a2700c595,POINT_IN_TIME_RECOMMENDATION_INPUT_SNAPSHOT,sector_state,true,SECTOR_STATE_MISSING,NOT_RETAINED,NO_CERTIFIED_METHOD,POINT_IN_TIME_RECOMMENDATION_INPUT_SNAPSHOT,ADJUSTED|RAW,IntelligenceInputBuilder,2026-04-09,true,CANDIDATE_DATE_SPECIFIC_VERSION,HFCL,false
UNRESOLVED_HISTORICAL_VALUE,UNKNOWN,true,004d5f8deff6e2b7afaabb9b09104d19b2ff345221260ebbaaf2ef0a2700c595,POINT_IN_TIME_RECOMMENDATION_INPUT_SNAPSHOT,setup_inputs,true,ALGORITHM_VERSION_MISSING,NOT_RETAINED,HISTORICAL_ENGINE_REEXECUTION_REQUIRES_VERSION_PROOF,POINT_IN_TIME_RECOMMENDATION_INPUT_SNAPSHOT,ADJUSTED|RAW,TradeSetupEngine,2026-04-09,true,CANDIDATE_DATE_SPECIFIC_VERSION,HFCL,true
UNRESOLVED_HISTORICAL_VALUE,UNKNOWN,true,004d5f8deff6e2b7afaabb9b09104d19b2ff345221260ebbaaf2ef0a2700c595,POINT_IN_TIME_RECOMMENDATION_INPUT_SNAPSHOT,setup_stage_inputs,true,ALGORITHM_VERSION_MISSING,NOT_RETAINED,HISTORICAL_ENGINE_REEXECUTION_REQUIRES_VERSION_PROOF,POINT_IN_TIME_RECOMMENDATION_INPUT_SNAPSHOT,ADJUSTED|RAW,TradeSetupEngine,2026-04-09,true,CANDIDATE_DATE_SPECIFIC_VERSION,HFCL,true
UNRESOLVED_HISTORICAL_VALUE,UNKNOWN,true,004d5f8deff6e2b7afaabb9b09104d19b2ff345221260ebbaaf2ef0a2700c595,SIGNED_SOURCE_AND_POLICY_SNAPSHOT,object_schema_version,true,SERIALISATION_STATE_MISSING,NOT_RETAINED,NO_CERTIFIED_METHOD,SIGNED_SOURCE_AND_POLICY_SNAPSHOT,ADJUSTED|RAW,IntelligenceInputBuilder,2026-04-09,true,HISTORICAL_RECOMMENDATION_SCHEMA,HFCL,false
UNRESOLVED_HISTORICAL_VALUE,UNKNOWN,true,004d5f8deff6e2b7afaabb9b09104d19b2ff345221260ebbaaf2ef0a2700c595,SIGNED_SOURCE_AND_POLICY_SNAPSHOT,recommendation_policy_version,true,POLICY_VERSION_MISSING,NOT_RETAINED,NO_CERTIFIED_METHOD,SIGNED_SOURCE_AND_POLICY_SNAPSHOT,ADJUSTED|RAW,RecommendationPolicy,2026-04-09,true,HISTORICAL_RECOMMENDATION_POLICY,HFCL,false
UNRESOLVED_HISTORICAL_VALUE,UNKNOWN,true,00c05a1a5bcbd20388ff90f7e9f05280dfa4a90847cafba3afddfea8a1963a37,HISTORICAL_TRUTH_CANDLES_PLUS_WINDOW_MANIFEST,adjusted_candle_window,true,HISTORICAL_PRIMITIVE_MISSING,NOT_RETAINED,NO_CERTIFIED_METHOD,HISTORICAL_TRUTH_CANDLES_PLUS_WINDOW_MANIFEST,ADJUSTED|RAW,IntelligenceInputBuilder,2026-06-17,true,CANDIDATE_DATE_SPECIFIC_VERSION,CANBK,true
UNRESOLVED_HISTORICAL_VALUE,UNKNOWN,true,00c05a1a5bcbd20388ff90f7e9f05280dfa4a90847cafba3afddfea8a1963a37,HISTORICAL_TRUTH_CANDLES_PLUS_WINDOW_MANIFEST,raw_candle_window,true,HISTORICAL_PRIMITIVE_MISSING,NOT_RETAINED,NO_CERTIFIED_METHOD,HISTORICAL_TRUTH_CANDLES_PLUS_WINDOW_MANIFEST,ADJUSTED|RAW,IntelligenceInputBuilder,2026-06-17,true,CANDIDATE_DATE_SPECIFIC_VERSION,CANBK,true
UNRESOLVED_HISTORICAL_VALUE,UNKNOWN,true,00c05a1a5bcbd20388ff90f7e9f05280dfa4a90847cafba3afddfea8a1963a37,HISTORICAL_TRUTH_CORPORATE_ACTION_TIMELINE,corporate_action_state,true,CORPORATE_ACTION_STATE_MISSING,NOT_RETAINED,NO_CERTIFIED_METHOD,HISTORICAL_TRUTH_CORPORATE_ACTION_TIMELINE,ADJUSTED|RAW,IntelligenceInputBuilder,2026-06-17,true,CANDIDATE_DATE_SPECIFIC_VERSION,CANBK,false
