ambiguity_risk,default_semantics,enum_domain,field_name,field_path,fingerprint_participation,historical_availability,historical_version,institutional_decision_participation,model,nullable,point_in_time_source,policy_dependency,producer,required,serialization_format,source_file,source_sha256,trade_plan_participation,type
HIGH,DECLARED_MODEL_DEFAULT,,metadata,recommendation.metadata,true,RECONSTRUCTABLE_FOR_DSI002_ONLY,CURRENT_MODEL_BOUND_TO_DSI002_SOURCE,true,RecommendationReport,false,versioned producer metadata,PRODUCER_CONTRACT,RecommendationEngine._build_one,false,CANONICAL_JSON_V1,alpha/recommendation_intelligence/models.py,262f6d805c9342bce2d1d9330ac5c1995bfdae77b51eb6f972c47ac4b22f93e3,false,"collections.abc.Mapping[str, str]"
LOW,DECLARED_MODEL_DEFAULT,,average_gain,recommendation.trade_setup.average_gain,true,RECONSTRUCTABLE_FOR_DSI002_ONLY,CURRENT_MODEL_BOUND_TO_DSI002_SOURCE,true,TradeSetupAssessment,true,recommendation producer input,PRODUCER_CONTRACT,RecommendationEngine._build_one,false,CANONICAL_JSON_V1,alpha/recommendation_intelligence/models.py,262f6d805c9342bce2d1d9330ac5c1995bfdae77b51eb6f972c47ac4b22f93e3,false,decimal.Decimal | None
LOW,DECLARED_MODEL_DEFAULT,,average_hold_period_days,recommendation.trade_setup.average_hold_period_days,true,RECONSTRUCTABLE_FOR_DSI002_ONLY,CURRENT_MODEL_BOUND_TO_DSI002_SOURCE,true,TradeSetupAssessment,true,recommendation producer input,PRODUCER_CONTRACT,RecommendationEngine._build_one,false,CANONICAL_JSON_V1,alpha/recommendation_intelligence/models.py,262f6d805c9342bce2d1d9330ac5c1995bfdae77b51eb6f972c47ac4b22f93e3,false,decimal.Decimal | None
LOW,DECLARED_MODEL_DEFAULT,,average_loss,recommendation.trade_setup.average_loss,true,RECONSTRUCTABLE_FOR_DSI002_ONLY,CURRENT_MODEL_BOUND_TO_DSI002_SOURCE,true,TradeSetupAssessment,true,recommendation producer input,PRODUCER_CONTRACT,RecommendationEngine._build_one,false,CANONICAL_JSON_V1,alpha/recommendation_intelligence/models.py,262f6d805c9342bce2d1d9330ac5c1995bfdae77b51eb6f972c47ac4b22f93e3,false,decimal.Decimal | None
LOW,DECLARED_MODEL_DEFAULT,,breakout_setup_points,recommendation.score_breakdown.breakout_setup_points,true,RECONSTRUCTABLE_FOR_DSI002_ONLY,CURRENT_MODEL_BOUND_TO_DSI002_SOURCE,true,RecommendationScoreBreakdown,false,point-in-time technical evidence,RECOMMENDATION_POLICY,RecommendationEngine._build_one,false,CANONICAL_JSON_V1,alpha/recommendation_intelligence/models.py,262f6d805c9342bce2d1d9330ac5c1995bfdae77b51eb6f972c47ac4b22f93e3,false,<class 'decimal.Decimal'>
LOW,DECLARED_MODEL_DEFAULT,,candle_pattern_points,recommendation.score_breakdown.candle_pattern_points,true,RECONSTRUCTABLE_FOR_DSI002_ONLY,CURRENT_MODEL_BOUND_TO_DSI002_SOURCE,true,RecommendationScoreBreakdown,false,point-in-time technical evidence,RECOMMENDATION_POLICY,RecommendationEngine._build_one,false,CANONICAL_JSON_V1,alpha/recommendation_intelligence/models.py,262f6d805c9342bce2d1d9330ac5c1995bfdae77b51eb6f972c47ac4b22f93e3,false,<class 'decimal.Decimal'>
LOW,DECLARED_MODEL_DEFAULT,,candle_weight,recommendation.score_breakdown.candle_weight,true,RECONSTRUCTABLE_FOR_DSI002_ONLY,CURRENT_MODEL_BOUND_TO_DSI002_SOURCE,true,RecommendationScoreBreakdown,false,point-in-time technical evidence,RECOMMENDATION_POLICY,RecommendationEngine._build_one,false,CANONICAL_JSON_V1,alpha/recommendation_intelligence/models.py,262f6d805c9342bce2d1d9330ac5c1995bfdae77b51eb6f972c47ac4b22f93e3,false,<class 'decimal.Decimal'>
LOW,DECLARED_MODEL_DEFAULT,,conflict_penalty_points,recommendation.score_breakdown.conflict_penalty_points,true,RECONSTRUCTABLE_FOR_DSI002_ONLY,CURRENT_MODEL_BOUND_TO_DSI002_SOURCE,true,RecommendationScoreBreakdown,false,point-in-time technical evidence,RECOMMENDATION_POLICY,RecommendationEngine._build_one,false,CANONICAL_JSON_V1,alpha/recommendation_intelligence/models.py,262f6d805c9342bce2d1d9330ac5c1995bfdae77b51eb6f972c47ac4b22f93e3,false,<class 'decimal.Decimal'>
LOW,DECLARED_MODEL_DEFAULT,,expected_holding_period,recommendation.trade_setup.expected_holding_period,true,RECONSTRUCTABLE_FOR_DSI002_ONLY,CURRENT_MODEL_BOUND_TO_DSI002_SOURCE,true,TradeSetupAssessment,false,recommendation producer input,PRODUCER_CONTRACT,RecommendationEngine._build_one,false,CANONICAL_JSON_V1,alpha/recommendation_intelligence/models.py,262f6d805c9342bce2d1d9330ac5c1995bfdae77b51eb6f972c47ac4b22f93e3,false,<class 'str'>
LOW,DECLARED_MODEL_DEFAULT,,expected_value,recommendation.trade_setup.expected_value,true,RECONSTRUCTABLE_FOR_DSI002_ONLY,CURRENT_MODEL_BOUND_TO_DSI002_SOURCE,true,TradeSetupAssessment,true,recommendation producer input,PRODUCER_CONTRACT,RecommendationEngine._build_one,false,CANONICAL_JSON_V1,alpha/recommendation_intelligence/models.py,262f6d805c9342bce2d1d9330ac5c1995bfdae77b51eb6f972c47ac4b22f93e3,false,decimal.Decimal | None
LOW,DECLARED_MODEL_DEFAULT,,historical_win_rate,recommendation.trade_setup.historical_win_rate,true,RECONSTRUCTABLE_FOR_DSI002_ONLY,CURRENT_MODEL_BOUND_TO_DSI002_SOURCE,true,TradeSetupAssessment,true,recommendation producer input,PRODUCER_CONTRACT,RecommendationEngine._build_one,false,CANONICAL_JSON_V1,alpha/recommendation_intelligence/models.py,262f6d805c9342bce2d1d9330ac5c1995bfdae77b51eb6f972c47ac4b22f93e3,false,decimal.Decimal | None
LOW,DECLARED_MODEL_DEFAULT,,holding_period_basis,recommendation.trade_setup.holding_period_basis,true,RECONSTRUCTABLE_FOR_DSI002_ONLY,CURRENT_MODEL_BOUND_TO_DSI002_SOURCE,true,TradeSetupAssessment,false,recommendation producer input,PRODUCER_CONTRACT,RecommendationEngine._build_one,false,CANONICAL_JSON_V1,alpha/recommendation_intelligence/models.py,262f6d805c9342bce2d1d9330ac5c1995bfdae77b51eb6f972c47ac4b22f93e3,false,<class 'str'>
