priority,dataset,recommended_source,alternative,why,cost_status,procurement_decision,acceptance_gate,alpha_subsystems,production_influence
P0,Intended-use license schedule,NSE/BSE/vendor legal schedules,NONE,"Rights are a prerequisite to retaining any sample",LEGAL_REVIEW_REQUIRED,START_NOW,"Signed retention; research; non-display; backup; derived analytics; exit export",ALL_RESEARCH_INFRASTRUCTURE,FALSE
P0,Daily NSE equity and reference core,NSE CM EOD plus Master Data,GFDL_OR_TRUEDATA,"Best authority and lowest published official core floor",PUBLISHED_FLOOR_INCOMPLETE,REQUEST_CONTRACT_AND_SAMPLE,"Population; inactive identity; corrections; retained use",REPLAY_MARKET_DNA_STRATEGY_LAB,FALSE
P0,Historical NSE backfill,NSE Data & Analytics,LSEG_OR_FACTSET,"Warehouse v1 begins in 2016 and is not certified",QUOTE_REQUIRED,REQUEST_QUOTE_AND_SAMPLE,"Exact earliest date; raw values; inactive securities; revisions",REPLAY_FEATURE_ATTRIBUTION,FALSE
P0,Corporate actions,NSE EOD Corporate Data,RFP_BSE_GFDL_TRUEDATA_SP_LSEG_FACTSET,"Actions and lineage are mandatory for trustworthy returns and identity",PUBLISHED_NSE_FLOOR_PLUS_QUOTES,COMPETITIVE_RFP,"All action types; successor lineage; revisions; raw/adjusted reconciliation",REPLAY_PERFORMANCE_LEARNING,FALSE
P0,Index levels TRI and constituents,NSE Indices,FACTSET_OR_LSEG,"Required for point-in-time benchmarks and index replay",QUOTE_REQUIRED,REQUEST_QUOTE_AND_SAMPLE,"Effective dates; complete removals; identifiers; revision history",BENCHMARK_REGIME_POINT_IN_TIME_UNIVERSE,FALSE
P0,BSE overlap proof,BSE sample,NONE,"Avoid buying a duplicate feed without measured incremental value",TRIAL_OR_QUOTE_REQUIRED,SAMPLE_BEFORE_PURCHASE,"ISIN overlap; BSE-only liquidity; outcome contribution; conflict rate",UNIVERSE_OPPORTUNITY_TRUTH,FALSE
P1,Delivery volume,NSE official licensed files,BSE_OR_GFDL,"Adds exchange-defined delivery evidence to price-volume research",QUOTE_DEPENDENT,INCLUDE_IF_RIGHTS_AND_HISTORY_PASS,"Units; depth; corrections; zero and missing semantics",BREAKOUT_RETRACEMENT_MARKET_DNA,FALSE
P1,Listing delisting suspension history,NSE and BSE master/history,LSEG_OR_FACTSET,"Prevents securities appearing before listing or after delisting",QUOTE_DEPENDENT,REQUIRE_IN_CORE_CONTRACT,"IPO; delisting; suspension; relisting; symbol reuse sample",POINT_IN_TIME_UNIVERSE_REPLAY,FALSE
P1,Market breadth,NSE/BSE official reports,DERIVE_FROM_CERTIFIED_UNIVERSE,"Regime evidence should use a known denominator",LOW_OR_INCLUDED,VALIDATE_BEFORE_INGESTION,"Denominator; unchanged; suspension; publication time",MARKET_REGIME_GATE_ATTRIBUTION,FALSE
P2,Normalized historical identity,LSEG_OR_FACTSET,BLOOMBERG,"Buy only if official identity leaves material unresolved lineage",ENTERPRISE_QUOTE,CONDITIONAL_RFP,"Measured unresolved-rate reduction and permanent ID continuity",IDENTITY_REPLAY_PROVENANCE,FALSE
P2,Institutional ownership,Exchange filings plus AMFI and SEBI,FACTSET_OWNERSHIP,"Useful enrichment after core truth is stable",FREE_FRAGMENTED_OR_ENTERPRISE_QUOTE,DEFER_UNTIL_CORE_CERTIFIED,"As-of and publication time; category consistency; India coverage",MARKET_DNA_RESEARCH,FALSE
P2,Earnings actuals and calendar,NSE/BSE corporate filings,FACTSET_EVENTS,"Official actuals are first priority; normalized expectations are separate",INCLUDED_OR_QUOTE,DEFER_UNTIL_CORE_CERTIFIED,"Original filing; revision; event timestamp; identity",EVENT_RESEARCH_RISK_CALENDAR,FALSE
DEFERRED,Point-in-time estimates and surprises,FactSet point-in-time estimates,LSEG_OR_BLOOMBERG,"Valuable only when an approved experiment justifies enterprise cost",ENTERPRISE_QUOTE,DEFER,"India coverage; contributor depth; point-in-time revision proof",FEATURE_ATTRIBUTION_STRATEGY_LAB,FALSE
DEFERRED,Tick and order-book history,NSE/BSE licensed products,FACTSET_OR_LSEG,"Not required for the current daily/swing research core",HIGH_SUBSCRIPTION_OR_ENTERPRISE,DEFER,"Research hypothesis; capacity plan; storage and compute budget",EXECUTION_RESEARCH,FALSE
REJECT,Authoritative history from broker or public aggregators,NONE,UPSTOX_FOR_OVERLAP_ONLY,"Insufficient identity corporate-action correction and retention proof",LOW_BUT_FALSE_ECONOMY,REJECT_AS_AUTHORITY,"Not applicable",NONE,FALSE
