dataset_id,domain,dataset,source,provider_class,official,historical_depth,coverage_pct,coverage_basis,fields,corporate_action_quality,point_in_time_safe,download_method,api,bulk_download,license_status,commercial_use,redistribution,cost_band,published_cost,confidence,quality_grade,update_frequency,source_url,verified_on,decision,production_influence
NSE_LICENSED_EOD,A_DAILY_EQUITY,Capital Market EOD,NSE Data & Analytics,OFFICIAL_EXCHANGE,TRUE,EXACT_START_REQUIRES_QUOTE,UNKNOWN_PENDING_SAMPLE,DOCUMENTED_CAPABILITY_NOT_MEASURED,"OHLCV; trades; turnover; reference files",SEPARATE_PRODUCT,CONDITIONAL_ON_REVISION_METADATA,SFTP,NO,YES,AGREEMENT_REQUIRED,AGREEMENT_REQUIRED,WRITTEN_PERMISSION_REQUIRED,SUBSCRIPTION,"INR 100000 per annum per site before tax",HIGH,B,DAILY,https://www.nseindia.com/static/market-data/eod-historical-data-subscription,2026-07-19,PRIMARY_CORE_CANDIDATE,FALSE
NSE_PUBLIC_REPORTS,A_DAILY_EQUITY,Daily bhavcopy and security reports,NSE,OFFICIAL_EXCHANGE,TRUE,DATE_DEPENDENT_ARCHIVES,UNKNOWN_PENDING_SAMPLE,PUBLIC_ARCHIVE_NOT_BULK_TESTED,"OHLCV; trades; delivery; security reports",PARTIAL,CONDITIONAL_ON_ORIGINAL_PUBLICATION,WEB_DOWNLOAD,NO,PARTIAL,PUBLIC_TERMS_APPLY,NOT_CONFIRMED_FOR_ALPHA,PROHIBITED_WITHOUT_PERMISSION,FREE,"No access fee; rights not established",MEDIUM,C,DAILY,https://www.nseindia.com/all-reports/,2026-07-19,VERIFICATION_ONLY_PENDING_RIGHTS,FALSE
BSE_LICENSED_EOD,A_DAILY_EQUITY,Equity EOD and historical data,BSE,OFFICIAL_EXCHANGE,TRUE,EXACT_START_REQUIRES_QUOTE,UNKNOWN_PENDING_SAMPLE,DOCUMENTED_CAPABILITY_NOT_MEASURED,"OHLCV; trades; turnover; reference data",SEPARATE_PRODUCT,CONDITIONAL_ON_REVISION_METADATA,SFTP_OR_API,YES,YES,AGREEMENT_REQUIRED,AGREEMENT_REQUIRED,WRITTEN_PERMISSION_REQUIRED,SUBSCRIPTION,QUOTE_REQUIRED,HIGH,B,DAILY,https://marketdata.bseindia.com/,2026-07-19,CONDITIONAL_COMPLEMENT,FALSE
BSE_PUBLIC_HISTORY,A_DAILY_EQUITY,Security price and delivery archive,BSE,OFFICIAL_EXCHANGE,TRUE,DATE_DEPENDENT_ARCHIVES,UNKNOWN_PENDING_SAMPLE,PUBLIC_PAGE_NOT_BULK_TESTED,"price; volume; turnover; trades; deliverable quantity",PARTIAL,PARTIAL,WEB_DOWNLOAD,NO,NO,PUBLIC_TERMS_APPLY,NOT_CONFIRMED_FOR_ALPHA,NOT_CONFIRMED,FREE,"No access fee; rights not established",MEDIUM,C,DAILY,https://www.sebi.gov.in/curation/equity_cash_market.html,2026-07-19,RECONCILIATION_ONLY,FALSE
UPSTOX_V3_DAILY,A_DAILY_EQUITY,Historical Candle Data V3,Upstox,BROKER_API,FALSE,DAILY_FROM_2000_DOCUMENTED,UNKNOWN_PENDING_SAMPLE,API_DEPTH_CLAIM_NOT_POPULATION_TESTED,"OHLCV; open interest where relevant",ABSENT,NO_INACTIVE_IDENTITY_PROOF,REST,YES,NO,BROKER_TERMS_APPLY,INTERNAL_USE_NOT_WAREHOUSE_CONFIRMED,NOT_CONFIRMED,REGISTRATION,"Data API usage documented as free",MEDIUM,D,ON_DEMAND,https://upstox.com/developer/api-documentation/v3/get-historical-candle-data/,2026-07-19,SECONDARY_OVERLAP_ONLY,FALSE
ZERODHA_CANDLES,A_DAILY_EQUITY,Historical Candle API,Zerodha,BROKER_API,FALSE,INSTRUMENT_DEPENDENT,UNKNOWN_PENDING_SAMPLE,NOT_POPULATION_TESTED,"OHLCV; open interest",ABSENT,NO_INACTIVE_IDENTITY_PROOF,REST,YES,NO,BROKER_TERMS_APPLY,RESTRICTED,RESTRICTED,SUBSCRIPTION,"INR 500 per app per month",MEDIUM,D,ON_DEMAND,https://support.zerodha.com/category/trading-and-markets/general-kite/kite-api/articles/what-are-the-charges-for-kite-apis,2026-07-19,LIVE_OR_OVERLAP_ONLY,FALSE
NSE_ARCHIVES_WRAPPER,A_DAILY_EQUITY,NSE archive automation,nse-archives,OPEN_SOURCE_WRAPPER,FALSE,UPSTREAM_DATE_DEPENDENT,UNKNOWN_PENDING_SAMPLE,WRAPPER_SUPPORT_IS_NOT_DATA_COVERAGE,"91 configured NSE archive datasets",INHERITS_UPSTREAM,INHERITS_UPSTREAM,HTTP_CLIENT,NO,YES,CODE_MIT_DATA_RIGHTS_SEPARATE,ONLY_WITH_UPSTREAM_RIGHTS,INHERITS_UPSTREAM,FREE,"MIT code; exchange data rights separate",MEDIUM,D,UPSTREAM_DEPENDENT,https://pypi.org/project/nse-archives/,2026-07-19,ADAPTER_ONLY_AFTER_ENTITLEMENT,FALSE
GFDL_HISTORICAL,A_DAILY_EQUITY,Historical Market Data API,Global Datafeeds,LICENSED_VENDOR,FALSE,NSE_AND_BSE_DEPTH_DOCUMENTED_BY_PERIODICITY,UNKNOWN_PENDING_SAMPLE,VENDOR_CLAIM_NOT_MEASURED,"tick; minute; day; week; month; OHLCV",SEPARATE_API,UNKNOWN,REST_WEBSOCKET,YES,NO,COMMERCIAL_AGREEMENT_REQUIRED,EXCHANGE_AGREEMENTS_REQUIRED,WRITTEN_PERMISSION_REQUIRED,SUBSCRIPTION,QUOTE_REQUIRED,MEDIUM,B,ON_DEMAND,https://globaldatafeeds.in/global-datafeeds-apis/global-datafeeds-apis/introduction/type-of-data-available/,2026-07-19,RFP_SHORTLIST,FALSE
TRUEDATA_HISTORICAL,A_DAILY_EQUITY,Historical and EOD market data,TrueData,LICENSED_VENDOR,FALSE,EXACT_DEPTH_REQUIRES_QUOTE,UNKNOWN_PENDING_SAMPLE,VENDOR_CLAIM_NOT_MEASURED,"OHLCV; tick; depth where subscribed",SEPARATE_API,UNKNOWN,REST_WEBSOCKET,YES,NO,COMMERCIAL_AGREEMENT_REQUIRED,INTERNAL_USE_BY_LICENSE,WRITTEN_PERMISSION_REQUIRED,SUBSCRIPTION,QUOTE_REQUIRED,MEDIUM,B,ON_DEMAND,https://www.truedata.in/market-data-apis,2026-07-19,RFP_SHORTLIST,FALSE
LSEG_EQUITIES,A_DAILY_EQUITY,Equities Pricing Data,LSEG,INSTITUTIONAL_VENDOR,FALSE,FROM_2000_DOCUMENTED,UNKNOWN_PENDING_SAMPLE,GLOBAL_COVERAGE_NOT_INDIA_SAMPLE,"daily; tick; pricing; terms; identifiers",STRONG_NORMALIZED,CONDITIONAL_ON_POINT_IN_TIME_PACKAGE,"API; cloud; SFTP; files",YES,YES,ENTERPRISE_AGREEMENT_REQUIRED,PACKAGE_DEPENDENT,PACKAGE_DEPENDENT,ENTERPRISE,QUOTE_REQUIRED,HIGH,B,CONTINUOUS_AND_DAILY,https://www.lseg.com/en/data-analytics/financial-data/pricing-and-market-data/equities-pricing-data,2026-07-19,PREMIUM_UPGRADE_CANDIDATE,FALSE
