candidate_identity,stage,condition_id,gate_code,condition_ordinal,result,explanation,first_blocker
RAW|2026-07-26|BEL|6b6510eca6894beee800c225fe780a37521498115880cbf2cc0db50b3d8adeda,institutional_base_decision,INSTITUTIONAL_BASE.WEAK_VERDICT.01,WEAK_VERDICT,1,FAIL,Only BUY or STRONG_BUY candidates are deployable.,true
RAW|2026-07-26|BEL|6b6510eca6894beee800c225fe780a37521498115880cbf2cc0db50b3d8adeda,institutional_base_decision,INSTITUTIONAL_BASE.PENDING_ENTRY_TRIGGER.01,PENDING_ENTRY_TRIGGER,2,FAIL,Entry is not actionable yet; capital waits for trigger confirmation.,false
RAW|2026-07-26|BEL|6b6510eca6894beee800c225fe780a37521498115880cbf2cc0db50b3d8adeda,institutional_base_decision,INSTITUTIONAL_BASE.WEAK_SETUP.01,WEAK_SETUP,3,FAIL,Final evidence score is below the stricter deployment threshold of 85.,false
RAW|2026-07-26|BEL|6b6510eca6894beee800c225fe780a37521498115880cbf2cc0db50b3d8adeda,institutional_base_decision,INSTITUTIONAL_BASE.INSUFFICIENT_EVIDENCE.01,INSUFFICIENT_EVIDENCE,4,FAIL,Fresh deployment requires at least 60 completed historical samples for the matched setup.,false
RAW|2026-07-26|BEL|6b6510eca6894beee800c225fe780a37521498115880cbf2cc0db50b3d8adeda,institutional_base_decision,INSTITUTIONAL_BASE.MISSING_TRADE_PLAN.01,MISSING_TRADE_PLAN,5,FAIL,Reward/risk is unavailable because the trade plan is incomplete.,false
RAW|2026-07-26|BEL|6b6510eca6894beee800c225fe780a37521498115880cbf2cc0db50b3d8adeda,institutional_base_decision,INSTITUTIONAL_BASE.MISSING_TRADE_PLAN.02,MISSING_TRADE_PLAN,6,FAIL,"Fresh deployment requires entry, stop, at least two targets, ATR context, and 20-DMA invalidation.",false
RAW|2026-07-26|BEL|6b6510eca6894beee800c225fe780a37521498115880cbf2cc0db50b3d8adeda,institutional_base_decision,INSTITUTIONAL_BASE.POOR_DATA_COMPLETENESS.01,POOR_DATA_COMPLETENESS,7,FAIL,Data completeness is below the required level.,false
RAW|2026-07-26|BEL|6b6510eca6894beee800c225fe780a37521498115880cbf2cc0db50b3d8adeda,institutional_base_decision,INSTITUTIONAL_BASE.INSUFFICIENT_CAPACITY.01,INSUFFICIENT_CAPACITY,8,FAIL,Liquidity or capacity is insufficient for deployment.,false
RAW|2026-07-26|BEL|6b6510eca6894beee800c225fe780a37521498115880cbf2cc0db50b3d8adeda,institutional_base_decision,INSTITUTIONAL_BASE.WEAK_SETUP.02,WEAK_SETUP,9,FAIL,Setup scorecard is below the A/B quality threshold.,false
RAW|2026-07-26|BEL|6b6510eca6894beee800c225fe780a37521498115880cbf2cc0db50b3d8adeda,institutional_base_decision,INSTITUTIONAL_BASE.PENDING_ENTRY_TRIGGER.02,PENDING_ENTRY_TRIGGER,10,FAIL,Entry quality is poor; wait for a cleaner entry zone or trigger.,false
