dataset_id,gross_value_score,priority_index,overall_roi,confidence,cost_status,replay_gain,unavailable_value_score,dependent_unlocks_lost,rationale
bonuses,77,UNKNOWN,UNKNOWN,INSUFFICIENT,BUNDLED,HIGH,77,1,Gross decision value 77/100 from explicit evidence rubrics. Overall cost-adjusted ROI remains UNKNOWN because no comparable standalone price is established.
corporate_actions,92,42,MEDIUM,HIGH,PUBLISHED,HIGH,92,3,Gross decision value 92/100 from explicit evidence rubrics. Cost-adjusted priority index 42/100; this is not a financial-return forecast.
delisting_history,79,UNKNOWN,UNKNOWN,INSUFFICIENT,BUNDLED,HIGH,79,1,Gross decision value 79/100 from explicit evidence rubrics. Overall cost-adjusted ROI remains UNKNOWN because no comparable standalone price is established.
delivery_data,72,UNKNOWN,UNKNOWN,INSUFFICIENT,QUOTE_REQUIRED,MEDIUM,72,5,Gross decision value 72/100 from explicit evidence rubrics. Overall cost-adjusted ROI remains UNKNOWN because no comparable standalone price is established.
delivery_percentage,72,UNKNOWN,UNKNOWN,INSUFFICIENT,BUNDLED,MEDIUM,72,0,Gross decision value 72/100 from explicit evidence rubrics. Overall cost-adjusted ROI remains UNKNOWN because no comparable standalone price is established.
delivery_quantity,72,UNKNOWN,UNKNOWN,INSUFFICIENT,BUNDLED,MEDIUM,72,0,Gross decision value 72/100 from explicit evidence rubrics. Overall cost-adjusted ROI remains UNKNOWN because no comparable standalone price is established.
demergers,77,UNKNOWN,UNKNOWN,INSUFFICIENT,BUNDLED,HIGH,77,1,Gross decision value 77/100 from explicit evidence rubrics. Overall cost-adjusted ROI remains UNKNOWN because no comparable standalone price is established.
dii_holdings,63,UNKNOWN,UNKNOWN,INSUFFICIENT,BUNDLED,MEDIUM,63,0,Gross decision value 63/100 from explicit evidence rubrics. Overall cost-adjusted ROI remains UNKNOWN because no comparable standalone price is established.
dividends,72,UNKNOWN,UNKNOWN,INSUFFICIENT,BUNDLED,MEDIUM,72,1,Gross decision value 72/100 from explicit evidence rubrics. Overall cost-adjusted ROI remains UNKNOWN because no comparable standalone price is established.
earnings_data,61,UNKNOWN,UNKNOWN,INSUFFICIENT,QUOTE_REQUIRED,MEDIUM,61,6,Gross decision value 61/100 from explicit evidence rubrics. Overall cost-adjusted ROI remains UNKNOWN because no comparable standalone price is established.
earnings_dates,61,UNKNOWN,UNKNOWN,INSUFFICIENT,BUNDLED,MEDIUM,61,0,Gross decision value 61/100 from explicit evidence rubrics. Overall cost-adjusted ROI remains UNKNOWN because no comparable standalone price is established.
earnings_revisions,56,UNKNOWN,UNKNOWN,INSUFFICIENT,BUNDLED,MEDIUM,56,0,Gross decision value 56/100 from explicit evidence rubrics. Overall cost-adjusted ROI remains UNKNOWN because no comparable standalone price is established.
