candidate_identity,price_arm,evaluator,stage,condition_id,condition_ordinal,gate_code,baseline_value,baseline_result,pass_state,eligibility,override_mechanism,downstream_resume_point,reason
RAW|2026-07-26|BEL|6b6510eca6894beee800c225fe780a37521498115880cbf2cc0db50b3d8adeda,RAW,InstitutionalDecisionEngine,institutional_base_decision,INSTITUTIONAL_BASE.WEAK_VERDICT.01,1,WEAK_VERDICT,Only BUY or STRONG_BUY candidates are deployable.,FAIL,EXACT_CONDITION_RESULT_PASS,OVERRIDE_ELIGIBLE,EXACT_CONDITION_RESULT_PASS_SEAM,institutional_stress,Condition has a stable single-result pass seam.
RAW|2026-07-26|BEL|6b6510eca6894beee800c225fe780a37521498115880cbf2cc0db50b3d8adeda,RAW,InstitutionalDecisionEngine,institutional_base_decision,INSTITUTIONAL_BASE.PENDING_ENTRY_TRIGGER.01,2,PENDING_ENTRY_TRIGGER,Entry is not actionable yet; capital waits for trigger confirmation.,FAIL,UNDEFINED_FOR_COMPOSITE_CONDITION,MULTI_CONDITION_EVALUATOR_NOT_ISOLATABLE,NONE,institutional_stress,Observed evaluator row combines independent predicates.
RAW|2026-07-26|BEL|6b6510eca6894beee800c225fe780a37521498115880cbf2cc0db50b3d8adeda,RAW,InstitutionalDecisionEngine,institutional_base_decision,INSTITUTIONAL_BASE.WEAK_SETUP.01,3,WEAK_SETUP,Final evidence score is below the stricter deployment threshold of 85.,FAIL,EXACT_CONDITION_RESULT_PASS,OVERRIDE_ELIGIBLE,EXACT_CONDITION_RESULT_PASS_SEAM,institutional_stress,Condition has a stable single-result pass seam.
RAW|2026-07-26|BEL|6b6510eca6894beee800c225fe780a37521498115880cbf2cc0db50b3d8adeda,RAW,InstitutionalDecisionEngine,institutional_base_decision,INSTITUTIONAL_BASE.INSUFFICIENT_EVIDENCE.01,4,INSUFFICIENT_EVIDENCE,Fresh deployment requires at least 60 completed historical samples for the matched setup.,FAIL,EXACT_CONDITION_RESULT_PASS,OVERRIDE_ELIGIBLE,EXACT_CONDITION_RESULT_PASS_SEAM,institutional_stress,Condition has a stable single-result pass seam.
RAW|2026-07-26|BEL|6b6510eca6894beee800c225fe780a37521498115880cbf2cc0db50b3d8adeda,RAW,InstitutionalDecisionEngine,institutional_base_decision,INSTITUTIONAL_BASE.MISSING_TRADE_PLAN.01,5,MISSING_TRADE_PLAN,Reward/risk is unavailable because the trade plan is incomplete.,FAIL,EXACT_CONDITION_RESULT_PASS,OVERRIDE_ELIGIBLE,EXACT_CONDITION_RESULT_PASS_SEAM,institutional_stress,Condition has a stable single-result pass seam.
RAW|2026-07-26|BEL|6b6510eca6894beee800c225fe780a37521498115880cbf2cc0db50b3d8adeda,RAW,InstitutionalDecisionEngine,institutional_base_decision,INSTITUTIONAL_BASE.MISSING_TRADE_PLAN.02,6,MISSING_TRADE_PLAN,"Fresh deployment requires entry, stop, at least two targets, ATR context, and 20-DMA invalidation.",FAIL,UNDEFINED_FOR_COMPOSITE_CONDITION,MULTI_CONDITION_EVALUATOR_NOT_ISOLATABLE,NONE,institutional_stress,Observed evaluator row combines independent predicates.
RAW|2026-07-26|BEL|6b6510eca6894beee800c225fe780a37521498115880cbf2cc0db50b3d8adeda,RAW,InstitutionalDecisionEngine,institutional_base_decision,INSTITUTIONAL_BASE.POOR_DATA_COMPLETENESS.01,7,POOR_DATA_COMPLETENESS,Data completeness is below the required level.,FAIL,EXACT_CONDITION_RESULT_PASS,OVERRIDE_ELIGIBLE,EXACT_CONDITION_RESULT_PASS_SEAM,institutional_stress,Condition has a stable single-result pass seam.
RAW|2026-07-26|BEL|6b6510eca6894beee800c225fe780a37521498115880cbf2cc0db50b3d8adeda,RAW,InstitutionalDecisionEngine,institutional_base_decision,INSTITUTIONAL_BASE.INSUFFICIENT_CAPACITY.01,8,INSUFFICIENT_CAPACITY,Liquidity or capacity is insufficient for deployment.,FAIL,UNDEFINED_FOR_COMPOSITE_CONDITION,MULTI_CONDITION_EVALUATOR_NOT_ISOLATABLE,NONE,institutional_stress,Observed evaluator row combines independent predicates.
RAW|2026-07-26|BEL|6b6510eca6894beee800c225fe780a37521498115880cbf2cc0db50b3d8adeda,RAW,InstitutionalDecisionEngine,institutional_base_decision,INSTITUTIONAL_BASE.WEAK_SETUP.02,9,WEAK_SETUP,Setup scorecard is below the A/B quality threshold.,FAIL,EXACT_CONDITION_RESULT_PASS,OVERRIDE_ELIGIBLE,EXACT_CONDITION_RESULT_PASS_SEAM,institutional_stress,Condition has a stable single-result pass seam.
RAW|2026-07-26|BEL|6b6510eca6894beee800c225fe780a37521498115880cbf2cc0db50b3d8adeda,RAW,InstitutionalDecisionEngine,institutional_base_decision,INSTITUTIONAL_BASE.PENDING_ENTRY_TRIGGER.02,10,PENDING_ENTRY_TRIGGER,Entry quality is poor; wait for a cleaner entry zone or trigger.,FAIL,EXACT_CONDITION_RESULT_PASS,OVERRIDE_ELIGIBLE,EXACT_CONDITION_RESULT_PASS_SEAM,institutional_stress,Condition has a stable single-result pass seam.
