candidate_identity,subset_id,cardinality,condition_ids,target,target_reached,semantic_validity,state_hash,search_space_cardinality,tested_ordinal,proof_status
RAW|2026-07-26|BEL|6b6510eca6894beee800c225fe780a37521498115880cbf2cc0db50b3d8adeda,ARM-6AE773C29206238FB92A,0,,INSTITUTIONAL_APPROVAL,false,true,452c199f1ad6c73e65cb5b108310dd50c45314b2fbec949290bfab5498e3b29e,128,1,COMPLETE
RAW|2026-07-26|BEL|6b6510eca6894beee800c225fe780a37521498115880cbf2cc0db50b3d8adeda,ARM-7374A65D1E8A44345997,1,INSTITUTIONAL_BASE.WEAK_VERDICT.01,INSTITUTIONAL_APPROVAL,false,true,7e856c8166652bfa2491fbdf55af34603b8727ae4aa189cd001163fad330249b,128,2,COMPLETE
RAW|2026-07-26|BEL|6b6510eca6894beee800c225fe780a37521498115880cbf2cc0db50b3d8adeda,ARM-6CD2E80FC5ED2D54216C,1,INSTITUTIONAL_BASE.WEAK_SETUP.01,INSTITUTIONAL_APPROVAL,false,true,6727fd2d24663948c93ac0ccf17523db21328d8e6baf1a2953b0d9331fe99f1c,128,3,COMPLETE
RAW|2026-07-26|BEL|6b6510eca6894beee800c225fe780a37521498115880cbf2cc0db50b3d8adeda,ARM-2AF1671320911C62B00F,1,INSTITUTIONAL_BASE.INSUFFICIENT_EVIDENCE.01,INSTITUTIONAL_APPROVAL,false,true,f19dd9a769f84415aa5c059aa93ed7d47c949858b05b6180d5a8f2f27ff96aeb,128,4,COMPLETE
RAW|2026-07-26|BEL|6b6510eca6894beee800c225fe780a37521498115880cbf2cc0db50b3d8adeda,ARM-15FD3DD2EBD81E61C6C3,1,INSTITUTIONAL_BASE.MISSING_TRADE_PLAN.01,INSTITUTIONAL_APPROVAL,false,true,26754fd6a5a902740595e90c9692cc279f1c000c2ca9301b61701d7c39e66d0b,128,5,COMPLETE
RAW|2026-07-26|BEL|6b6510eca6894beee800c225fe780a37521498115880cbf2cc0db50b3d8adeda,ARM-8D0896715EDE79593D41,1,INSTITUTIONAL_BASE.POOR_DATA_COMPLETENESS.01,INSTITUTIONAL_APPROVAL,false,true,4167c72f330b99fc2a384e7d4151dcf3429f471601f3d6b696c982078b9f4fc5,128,6,COMPLETE
RAW|2026-07-26|BEL|6b6510eca6894beee800c225fe780a37521498115880cbf2cc0db50b3d8adeda,ARM-46DE11917FA19AA78CE1,1,INSTITUTIONAL_BASE.WEAK_SETUP.02,INSTITUTIONAL_APPROVAL,false,true,2473dda667a743ece5050b6c28b08d959fa0eead6d84edc9e7e4550a62ecca8e,128,7,COMPLETE
RAW|2026-07-26|BEL|6b6510eca6894beee800c225fe780a37521498115880cbf2cc0db50b3d8adeda,ARM-1DB5AA58ABF7BA37EE35,1,INSTITUTIONAL_BASE.PENDING_ENTRY_TRIGGER.02,INSTITUTIONAL_APPROVAL,false,true,013caa3b3f685d5dc310f0fe0c8adacb00d82a213a3d589080aba4721e6cd16f,128,8,COMPLETE
RAW|2026-07-26|BEL|6b6510eca6894beee800c225fe780a37521498115880cbf2cc0db50b3d8adeda,ARM-4F21B023B583224A6A2B,2,INSTITUTIONAL_BASE.WEAK_VERDICT.01|INSTITUTIONAL_BASE.WEAK_SETUP.01,INSTITUTIONAL_APPROVAL,false,true,b2f21b3334bbd72685e387cd9ad11b4098a314707bba6418e166ec972972e821,128,9,COMPLETE
RAW|2026-07-26|BEL|6b6510eca6894beee800c225fe780a37521498115880cbf2cc0db50b3d8adeda,ARM-2AE294DC16C27F39EC7A,2,INSTITUTIONAL_BASE.WEAK_VERDICT.01|INSTITUTIONAL_BASE.INSUFFICIENT_EVIDENCE.01,INSTITUTIONAL_APPROVAL,false,true,1103e4521fe43e0bd43b7c7ee58123cd06506cd5f619d4d35255ee29a8acd74c,128,10,COMPLETE
RAW|2026-07-26|BEL|6b6510eca6894beee800c225fe780a37521498115880cbf2cc0db50b3d8adeda,ARM-96DE0CE2474A34AB56FF,2,INSTITUTIONAL_BASE.WEAK_VERDICT.01|INSTITUTIONAL_BASE.MISSING_TRADE_PLAN.01,INSTITUTIONAL_APPROVAL,false,true,a61878a2847d216e4a19ed17c82286022bfde05fdad05d24dd684e0d028ce439,128,11,COMPLETE
RAW|2026-07-26|BEL|6b6510eca6894beee800c225fe780a37521498115880cbf2cc0db50b3d8adeda,ARM-D847217EA0A2F91B4EA7,2,INSTITUTIONAL_BASE.WEAK_VERDICT.01|INSTITUTIONAL_BASE.POOR_DATA_COMPLETENESS.01,INSTITUTIONAL_APPROVAL,false,true,128c214366ec2c13d601744ecb096d9a0def63eb7db368e9b5c843dc3eed5023,128,12,COMPLETE
