dataset,source,grade,completeness,official_status,legal_certainty,point_in_time_quality,reproducibility,principal_strength,principal_gap,upgrade_to_a_requires,production_influence
Daily equity EOD,NSE Data & Analytics,B,UNKNOWN_PENDING_SAMPLE,OFFICIAL,HIGH_AFTER_CONTRACT,CONDITIONAL,HIGH_AFTER_DELIVERY,Exchange authority,"Exact backfill coverage and rights not tested","Signed rights; full sample; corrections; PIT identity",FALSE
Daily equity EOD,BSE,B,UNKNOWN_PENDING_SAMPLE,OFFICIAL,HIGH_AFTER_CONTRACT,CONDITIONAL,HIGH_AFTER_DELIVERY,Exchange authority,"Incremental Alpha coverage and lineage not measured","Signed rights; overlap sample; corrections; PIT identity",FALSE
Public bhavcopy and reports,NSE/BSE,C,UNKNOWN_PENDING_SAMPLE,OFFICIAL,MEDIUM,CONDITIONAL,MEDIUM,Original exchange publication,"Bulk retention and complete archive not established","Written rights; archival completeness; checksummed delivery",FALSE
Historical candles,Upstox,D,UNKNOWN_PENDING_SAMPLE,SECONDARY_PROVIDER,LOW,LOW,HIGH_API,Long documented daily depth,"Inactive identity corporate actions and retention are incomplete","Exchange authority; permanent identity; retained rights; corrections",FALSE
Historical candles,Zerodha,D,UNKNOWN_PENDING_SAMPLE,SECONDARY_PROVIDER,LOW,LOW,HIGH_API,Mature operational API,"Storage and platform restrictions; no PIT identity","Separate rights and complete historical reference lineage",FALSE
Archive wrapper,nse-archives,D,UPSTREAM_DEPENDENT,NON_OFFICIAL_CODE,INHERITS_UPSTREAM,INHERITS_UPSTREAM,MEDIUM,Current maintained adapter,"Code license does not grant data rights","Licensed upstream; pinned release; fixtures; correction handling",FALSE
Historical market data,Global Datafeeds,B,UNKNOWN_PENDING_SAMPLE,LICENSED_VENDOR,MEDIUM_AFTER_CONTRACT,UNKNOWN,HIGH_API,Authorized India vendor,"Exact depth identity revisions and rights untested","Contract plus representative full-population test",FALSE
Historical market data,TrueData,B,UNKNOWN_PENDING_SAMPLE,LICENSED_VENDOR,MEDIUM_AFTER_CONTRACT,UNKNOWN,HIGH_API,Authorized live and corporate capability,"Exact historical and inactive depth untested","Contract plus representative full-population test",FALSE
Pricing and reference,LSEG,B,UNKNOWN_PENDING_SAMPLE,INSTITUTIONAL_VENDOR,HIGH_AFTER_CONTRACT,HIGH_FOR_ENTITLED_FIELDS,HIGH,Normalized global depth,"India entitlements cost and sample remain unknown","Signed package; India sample; exchange rights; correction SLA",FALSE
Pricing and reference,FactSet,B,UNKNOWN_PENDING_SAMPLE,INSTITUTIONAL_VENDOR,HIGH_AFTER_CONTRACT,HIGH_FOR_ENTITLED_FIELDS,HIGH,Long history and unified symbology,"India entitlements cost and sample remain unknown","Signed package; India sample; exchange rights; correction SLA",FALSE
Data License,Bloomberg,B,UNKNOWN_PENDING_SAMPLE,INSTITUTIONAL_VENDOR,HIGH_AFTER_CONTRACT,HIGH_FOR_ENTITLED_FIELDS,HIGH,Broad enterprise content,"India package cost and field rights remain unknown","Signed package; India sample; exchange rights; correction SLA",FALSE
Historical chart data,Yahoo Finance,UNUSABLE,UNKNOWN,AGGREGATOR,LOW,LOW,LOW,Convenient manual access,"Informational terms no authoritative provenance or redistribution","Not eligible as authority",FALSE
Global time series,Alpha Vantage,D,UNKNOWN_PENDING_SAMPLE,AGGREGATOR,MEDIUM_AFTER_COMMERCIAL_CONTRACT,LOW,HIGH_API,Simple API,"India completeness and historical identity unproven","Commercial contract; India sample; upstream and PIT lineage",FALSE
Global EOD,Twelve Data,C,UNKNOWN_PENDING_SAMPLE,AGGREGATOR,MEDIUM_AFTER_BUSINESS_CONTRACT,UNKNOWN,HIGH_API,Structured EOD API,"India approval upstream identity and storage are plan dependent","Business rights; exchange approval; India sample; PIT lineage",FALSE
Community datasets,GitHub and mirrors,UNUSABLE,UNKNOWN,NON_OFFICIAL,LOW,LOW,LOW,Low acquisition cost,"No common authority rights corrections or survivorship control","Not eligible absent a separately licensed authoritative source",FALSE
Historical index levels,NSE Indices,B,UNKNOWN_PENDING_SAMPLE,OFFICIAL,HIGH_AFTER_CONTRACT,HIGH_AFTER_VERSION_PROOF,HIGH,Official administrator,"Exact complete depth and use rights untested","License; sample; original and revised values; checksums",FALSE
Historical index constituents,NSE Indices,B,UNKNOWN_PENDING_SAMPLE,OFFICIAL,HIGH_AFTER_CONTRACT,HIGH_AFTER_EFFECTIVE_DATE_PROOF,HIGH,Official administrator,"Earliest complete additions and removals unknown","License; full effective-date sample; revisions; inactive IDs",FALSE
Corporate actions,NSE/BSE,B,UNKNOWN_PENDING_SAMPLE,OFFICIAL,HIGH_AFTER_CONTRACT,CONDITIONAL,HIGH,Original exchange actions,"Complete successor lineage and revisions untested","Signed rights; all event types; known-event reconciliation",FALSE
Corporate action master,CDSL,C,UNKNOWN_PENDING_SAMPLE,OFFICIAL_DEPOSITORY,MEDIUM,LOW_FOR_HISTORY,MEDIUM,Depository event setup,"Current format does not prove historical archive","Historical versions; rights; RTA corrections; identity mapping",FALSE
Managed corporate actions,S&P Global,B,UNKNOWN_PENDING_SAMPLE,INSTITUTIONAL_VENDOR,HIGH_AFTER_CONTRACT,HIGH,HIGH,Normalized golden record,"India source package cost and coverage untested","Signed package; India event sample; source and revision lineage",FALSE
Security master,NSE/BSE,B,UNKNOWN_PENDING_SAMPLE,OFFICIAL,HIGH_AFTER_CONTRACT,CONDITIONAL,HIGH,Venue authority,"Historical symbol series and inactive depth untested","Effective-dated archive; inactive cases; correction history",FALSE
Current ISIN master,CDSL,C,CURRENT_ONLY,OFFICIAL_DEPOSITORY,MEDIUM,LOW_FOR_HISTORY,MEDIUM,Current admitted ISIN details,"Cannot be copied backward as historical identity","Historical snapshots and effective dates under written rights",FALSE
Delivery volume,NSE/BSE,B,UNKNOWN_PENDING_SAMPLE,OFFICIAL,HIGH_AFTER_CONTRACT,CONDITIONAL,HIGH,Exchange-defined delivery,"Complete depth corrections and units need proof","Licensed bulk history; unit tests; correction lineage",FALSE
Market breadth,NSE/BSE,C,UNKNOWN_PENDING_SAMPLE,OFFICIAL,MEDIUM,CONDITIONAL,MEDIUM,Official market counts,"Denominator and historical constituent treatment unclear","Universe definition; complete archive; publication timestamps",FALSE
Shareholding filings,NSE/BSE,C,UNKNOWN_PENDING_SAMPLE,OFFICIAL,MEDIUM,CONDITIONAL,MEDIUM,Official filed snapshots,"Fragmented categories revisions and normalization","Complete filing archive; identity map; revision and lag model",FALSE
FPI and mutual fund aggregates,SEBI,C,UNKNOWN_PENDING_SAMPLE,OFFICIAL_REGULATOR,MEDIUM,HIGH_FOR_PUBLISHED_AGGREGATES,MEDIUM,Official aggregate statistics,"Not security-level ownership","Complete archives; stable definitions; publication timestamps",FALSE
Mutual fund portfolios,AMFI,C,UNKNOWN_PENDING_SAMPLE,OFFICIAL_INDUSTRY_BODY,MEDIUM,CONDITIONAL,MEDIUM,Official disclosures,"AMC fragmentation and complete backfill untested","All-AMC sample; ISIN map; as-of and publication chronology",FALSE
Institutional ownership,FactSet,B,UNKNOWN_PENDING_SAMPLE,INSTITUTIONAL_VENDOR,HIGH_AFTER_CONTRACT,HIGH_FOR_AS_REPORTED_FIELDS,HIGH,Long normalized ownership history,"India security coverage and package cost untested","Signed package; India sample; filing lag and restatement proof",FALSE
Earnings actuals and dates,NSE/BSE,B,UNKNOWN_PENDING_SAMPLE,OFFICIAL,HIGH_AFTER_CONTRACT,HIGH_IF_ORIGINAL_FILINGS_PRESERVED,MEDIUM,Original filings and notices,"Bulk history normalization and revisions untested","Licensed archive; original/revised filings; publication timestamps",FALSE
Point-in-time estimates,FactSet,B,UNKNOWN_PENDING_SAMPLE,INSTITUTIONAL_VENDOR,HIGH_AFTER_CONTRACT,HIGH,HIGH,Explicit point-in-time consensus,"India contributor and security coverage untested","Signed package; India sample; contributor and revision audit",FALSE
