session_date,classification,evidence
2026-01-15,VERIFIED_EXCHANGE_HOLIDAY,Maharashtra municipal corporation elections
2026-01-26,VERIFIED_EXCHANGE_HOLIDAY,Republic Day
2026-03-03,VERIFIED_EXCHANGE_HOLIDAY,Holi
2026-03-26,VERIFIED_EXCHANGE_HOLIDAY,Ram Navami
2026-03-31,VERIFIED_EXCHANGE_HOLIDAY,Mahavir Jayanti
2026-04-03,VERIFIED_EXCHANGE_HOLIDAY,Good Friday
2026-04-14,VERIFIED_EXCHANGE_HOLIDAY,Ambedkar Jayanti
2026-05-01,VERIFIED_EXCHANGE_HOLIDAY,Maharashtra Day
2026-05-28,VERIFIED_EXCHANGE_HOLIDAY,Bakri Id
2026-06-26,VERIFIED_EXCHANGE_HOLIDAY,Muharram
