provider,historical,live,corporate_actions,identity,mte_score,historical_warehouse_score,corporate_action_score,identity_score,live_score,warehouse_fit,legal_clarity,published_cost,overall
"NSE Data & Analytics","Licensed EOD/historical; earliest bulk backfill to confirm","L1/L2/L3/TBT, snapshots, delayed","Exchange-authoritative","Master available; historical lineage must be contracted",5,5,5,4,5,5,4,"EOD ₹1L; master ₹2.15L; CA ₹5L/year/site","Authoritative core"
"BSE Market Data","Daily/monthly/yearly and licensed products; backfill to confirm","L1/L2/L3 and delayed","Exchange-authoritative","ISIN supported; historical lineage to confirm",5,4,5,4,5,4,3,"Selected live tariffs published; warehouse quote","Authoritative complement"
"Upstox","Daily/weekly/monthly from Jan 2000; intraday from Jan 2022","REST/WebSocket LTPC, full and depth","Incomplete","Current keys/ISIN; not PIT inactive history",2,2,1,2,4,2,1,"Data API free","Operational/secondary only"
"Zerodha Kite Connect","Multi-year candles; exact earliest date varies","REST/WebSocket","Incomplete","Current tokens/master",2,1,1,2,4,1,4,"₹500/month","Operational only; platform use restricted"
"Angel One SmartAPI","Candles; earliest date not promised","REST/WebSocket","Incomplete","Current instruments",2,1,1,1,4,1,1,"Free","Operational/secondary only"
"FYERS API","Historical API; earliest date not promised","REST/WebSocket","Incomplete","Current symbol master",2,1,1,2,4,1,1,"Free","Operational/secondary only"
"Alice Blue","Two years NSE daily/minute documented","WebSocket market/depth","Incomplete","Current contracts",1,1,0,1,3,1,1,"Broker access","Weak historical fit"
"Global Datafeeds","NSE from 2010; BSE from 2007; shorter intraday windows","REST/WebSocket/FIX and other APIs","Broad taxonomy; public history only 30 days","ISIN in CA payload; PIT lineage unproven",4,4,3,3,4,4,4,"Quote required","Licensed shortlist"
"TrueData","Historical/EOD advertised; public depth incomplete","Authorized real-time/tick/depth APIs","Advertised","PIT depth must be proved",4,3,3,3,5,3,4,"Quote required","Licensed shortlist"
"Symphony Fintech XTS","Intraday archive from date of access","Strong market-data gateway","Limited","Current master includes series/ISIN",3,1,1,3,5,1,3,"Quote required","Live infrastructure"
"Spider Software","Terminal/chart history; bulk depth unclear","Terminal/feed products","Product-dependent","PIT identity not evidenced",1,1,1,1,3,1,1,"Quote required","Research terminal"
"LSEG / Refinitiv","Daily from 2000; tick history 30+ years","Broad L1/L2 and real-time feeds","Deep normalized coverage","Strong cross-reference and inactive coverage",5,5,5,5,5,5,5,"Quote required","Premium institutional"
"FactSet","APAC from 1985; active/inactive global coverage","Snapshot and exchange feeds","Splits, dividends, events and adjustments","Strong symbology/permanent IDs",5,5,5,5,4,5,4,"Quote required","Premium institutional"
"Morningstar","Scheduled equity/reference feeds; India depth to quote","Not a primary India live choice","Package-dependent","Strong reference, package-dependent",3,3,4,4,2,3,4,"Quote required","Specialist complement"
"S&P Capital IQ","Price package-dependent","Package-dependent","Strong managed corporate actions","Strong CA/reference identifiers",4,3,5,5,3,3,4,"Quote required","CA/reference specialist"
"Bloomberg","20+ years bulk; 17-year PIT product","B-PIPE real-time/non-display","Deep enterprise coverage","Strong security master",5,5,5,5,5,5,5,"Quote required","Premium institutional"
"Yahoo Finance","Unsupported bulk history","Delayed/website-oriented","No contractual lineage","Weak",1,1,1,1,1,1,1,"Free","Research-only; reject as authority"
"Alpha Vantage","20+ years claimed; India depth not fully evidenced","Plan-dependent API","Adjusted split/dividend series","Weak PIT identity",2,2,2,1,2,2,4,"Retail from US$49.99/month; commercial quote","Research/validation only"
"Twelve Data","NSE/BSE EOD; full history exchange-dependent","India listed as EOD, not live","Advertised","ISIN/MIC; PIT lineage unproven",3,3,3,3,2,3,4,"Individual from US$790/year; business from US$4,990/year","Secondary EOD after rights confirmation"
"Stooq","India coverage/provenance not established","Not established","Not established","Not established",0,0,0,0,0,0,0,"Free","Reject as authority"
"GitHub datasets","Dataset-specific snapshots","None reliable","Usually absent","Usually absent",0,0,0,0,0,0,0,"Usually free","Research-only; provenance risk"
